Source,Target,Weight,Type
Ahri,Irelia,9,Undirected
Ahri,Janna,16,Undirected
Ahri,Jinx,9,Undirected
Ahri,RekSai,21,Undirected
Irelia,Janna,8,Undirected
Irelia,Jinx,3,Undirected
Irelia,RekSai,39,Undirected
Janna,Jinx,12,Undirected
Janna,RekSai,40,Undirected
Jinx,RekSai,19,Undirected
Annie,Fizz,7,Undirected
Annie,Renekton,5,Undirected
Annie,Rengar,7,Undirected
Annie,Sivir,47,Undirected
Fizz,Renekton,1,Undirected
Fizz,Rengar,4,Undirected
Fizz,Sivir,32,Undirected
Renekton,Rengar,9,Undirected
Renekton,Sivir,12,Undirected
Rengar,Sivir,16,Undirected
Gnar,Janna,21,Undirected
Gnar,JarvanIV,22,Undirected
Gnar,Lissandra,22,Undirected
Gnar,Tristana,9,Undirected
Janna,JarvanIV,25,Undirected
Janna,Lissandra,14,Undirected
Janna,Tristana,15,Undirected
JarvanIV,Lissandra,16,Undirected
JarvanIV,Tristana,8,Undirected
Lissandra,Tristana,5,Undirected
Corki,Irelia,11,Undirected
Corki,Janna,49,Undirected
Corki,JarvanIV,34,Undirected
Corki,Xerath,7,Undirected
Irelia,JarvanIV,9,Undirected
Irelia,Xerath,1,Undirected
Janna,Xerath,11,Undirected
JarvanIV,Xerath,11,Undirected
Annie,Azir,14,Undirected
Annie,Caitlyn,6,Undirected
Annie,JarvanIV,15,Undirected
Azir,Caitlyn,14,Undirected
Azir,JarvanIV,13,Undirected
Azir,Renekton,3,Undirected
Caitlyn,JarvanIV,4,Undirected
Caitlyn,Renekton,4,Undirected
JarvanIV,Renekton,5,Undirected
Irelia,Nami,12,Undirected
Irelia,Nocturne,1,Undirected
Irelia,Orianna,2,Undirected
Irelia,Sivir,38,Undirected
Nami,Nocturne,1,Undirected
Nami,Orianna,19,Undirected
Nami,Sivir,24,Undirected
Nocturne,Orianna,1,Undirected
Nocturne,Sivir,3,Undirected
Orianna,Sivir,18,Undirected
Azir,Corki,23,Undirected
Azir,Gnar,32,Undirected
Azir,Morgana,15,Undirected
Corki,Gnar,33,Undirected
Corki,Morgana,27,Undirected
Gnar,Morgana,13,Undirected
JarvanIV,Morgana,19,Undirected
Graves,JarvanIV,13,Undirected
Graves,Jax,4,Undirected
Graves,Kassadin,18,Undirected
Graves,Morgana,15,Undirected
JarvanIV,Jax,1,Undirected
JarvanIV,Kassadin,10,Undirected
Jax,Kassadin,2,Undirected
Jax,Morgana,4,Undirected
Kassadin,Morgana,10,Undirected
Annie,Irelia,6,Undirected
Annie,Kalista,19,Undirected
Annie,Lissandra,12,Undirected
Annie,Vi,5,Undirected
Irelia,Kalista,7,Undirected
Irelia,Lissandra,3,Undirected
Irelia,Vi,4,Undirected
Kalista,Lissandra,39,Undirected
Kalista,Vi,6,Undirected
Lissandra,Vi,9,Undirected
Annie,Leblanc,11,Undirected
Annie,Maokai,32,Undirected
JarvanIV,Kalista,16,Undirected
JarvanIV,Leblanc,9,Undirected
JarvanIV,Maokai,30,Undirected
Kalista,Leblanc,22,Undirected
Kalista,Maokai,52,Undirected
Leblanc,Maokai,32,Undirected
Caitlyn,Morgana,12,Undirected
Caitlyn,Rumble,14,Undirected
Caitlyn,Vi,1,Undirected
Caitlyn,Zed,4,Undirected
Morgana,Rumble,9,Undirected
Morgana,Vi,9,Undirected
Morgana,Zed,13,Undirected
Rumble,Vi,7,Undirected
Rumble,Zed,21,Undirected
Vi,Zed,6,Undirected
Lissandra,Morgana,16,Undirected
Lissandra,Xerath,6,Undirected
Morgana,Tristana,6,Undirected
Morgana,Xerath,6,Undirected
Tristana,Xerath,1,Undirected
Gnar,KogMaw,15,Undirected
Gnar,Leblanc,18,Undirected
Gnar,LeeSin,20,Undirected
Gnar,Nami,8,Undirected
KogMaw,Leblanc,5,Undirected
KogMaw,LeeSin,13,Undirected
KogMaw,Nami,9,Undirected
Leblanc,LeeSin,36,Undirected
Leblanc,Nami,12,Undirected
LeeSin,Nami,30,Undirected
Annie,Graves,13,Undirected
Annie,Kassadin,9,Undirected
Graves,Maokai,65,Undirected
Graves,Vi,10,Undirected
Kassadin,Maokai,18,Undirected
Kassadin,Vi,3,Undirected
Maokai,Vi,12,Undirected
Lissandra,Nami,6,Undirected
Lissandra,RekSai,41,Undirected
Lissandra,Vayne,1,Undirected
Nami,RekSai,36,Undirected
Nami,Vayne,2,Undirected
Nami,Xerath,2,Undirected
RekSai,Vayne,9,Undirected
RekSai,Xerath,4,Undirected
Vayne,Xerath,1,Undirected
Graves,Leblanc,30,Undirected
Graves,Rumble,31,Undirected
Leblanc,Morgana,13,Undirected
Leblanc,Rumble,18,Undirected
Leblanc,Vi,4,Undirected
Alistar,Ezreal,62,Undirected
Alistar,LeeSin,33,Undirected
Alistar,Lissandra,38,Undirected
Alistar,Sivir,87,Undirected
Ezreal,LeeSin,30,Undirected
Ezreal,Lissandra,21,Undirected
Ezreal,Sivir,11,Undirected
LeeSin,Lissandra,22,Undirected
LeeSin,Sivir,40,Undirected
Lissandra,Sivir,43,Undirected
Graves,Lissandra,35,Undirected
Graves,RekSai,16,Undirected
Jax,Lissandra,2,Undirected
Jax,RekSai,11,Undirected
Morgana,RekSai,38,Undirected
Ahri,Sion,7,Undirected
Ahri,Vi,11,Undirected
Janna,Sion,5,Undirected
Janna,Vi,5,Undirected
Jinx,Sion,6,Undirected
Jinx,Vi,6,Undirected
Sion,Vi,2,Undirected
Kassadin,Lissandra,5,Undirected
Ahri,Graves,35,Undirected
Ahri,Leona,11,Undirected
Ahri,Lissandra,1,Undirected
Graves,Leona,14,Undirected
