Id,Label
Aatrox,Aatrox
Ahri,Ahri
Akali,Akali
Alistar,Alistar
Amumu,Amumu
Anivia,Anivia
Annie,Annie
Ashe,Ashe
AurelionSol,AurelionSol
Azir,Azir
Bard,Bard
Blitzcrank,Blitzcrank
Brand,Brand
Braum,Braum
Caitlyn,Caitlyn
Camille,Camille
Cassiopeia,Cassiopeia
Chogath,Chogath
Corki,Corki
Darius,Darius
Diana,Diana
DrMundo,DrMundo
Draven,Draven
Ekko,Ekko
Elise,Elise
Evelynn,Evelynn
Ezreal,Ezreal
FiddleSticks,FiddleSticks
Fiddlesticks,Fiddlesticks
Fiora,Fiora
Fizz,Fizz
Galio,Galio
Gangplank,Gangplank
Gnar,Gnar
Gragas,Gragas
Graves,Graves
Hecarim,Hecarim
Illaoi,Illaoi
Irelia,Irelia
Ivern,Ivern
Janna,Janna
JarvanIV,JarvanIV
Jax,Jax
Jayce,Jayce
Jhin,Jhin
Jinx,Jinx
Kalista,Kalista
Karma,Karma
Karthus,Karthus
Kassadin,Kassadin
Katarina,Katarina
Kayle,Kayle
Kennen,Kennen
Khazix,Khazix
Kindred,Kindred
Kled,Kled
KogMaw,KogMaw
Leblanc,Leblanc
LeeSin,LeeSin
Leona,Leona
Lissandra,Lissandra
Lucian,Lucian
Lulu,Lulu
Lux,Lux
Malphite,Malphite
Malzahar,Malzahar
Maokai,Maokai
MasterYi,MasterYi
MissFortune,MissFortune
MonkeyKing,MonkeyKing
Mordekaiser,Mordekaiser
Morgana,Morgana
Nami,Nami
Nautilus,Nautilus
Nidalee,Nidalee
Nocturne,Nocturne
Nunu,Nunu
Olaf,Olaf
Orianna,Orianna
Pantheon,Pantheon
Poppy,Poppy
Quinn,Quinn
Rammus,Rammus
RekSai,RekSai
Renekton,Renekton
Rengar,Rengar
Riven,Riven
Rumble,Rumble
Ryze,Ryze
Sejuani,Sejuani
Shaco,Shaco
Shen,Shen
Shyvana,Shyvana
Singed,Singed
Sion,Sion
Sivir,Sivir
Skarner,Skarner
Sona,Sona
Soraka,Soraka
Swain,Swain
Syndra,Syndra
TahmKench,TahmKench
Taliyah,Taliyah
Talon,Talon
Taric,Taric
Thresh,Thresh
Tristana,Tristana
Trundle,Trundle
TwistedFate,TwistedFate
Twitch,Twitch
Udyr,Udyr
Urgot,Urgot
Varus,Varus
Vayne,Vayne
Veigar,Veigar
Velkoz,Velkoz
Vi,Vi
Viktor,Viktor
Vladimir,Vladimir
Warwick,Warwick
Xerath,Xerath
XinZhao,XinZhao
Yasuo,Yasuo
Yorick,Yorick
Zac,Zac
Zed,Zed
Ziggs,Ziggs
Zilean,Zilean
Zyra,Zyra
